ファイル名,アプリ名,価格表示有無,税込表示方式,計価単位,価格の視覚階層,ポイント表示有無,ポイント表示方式,ポイント表示位置,割引表示有無,割引表示方式,取消ポリシー有無,取消ポリシー表示方式,人数選択有無,児童選択有無,人数表示方式,評価表示有無,評価表示方式,CTA文言,特記事項,エラー
IMG_1728.PNG,一休,なし,該当なし,表示なし,価格表示なし（スクロール先に存在する可能性あり）,あり,「獲得ポイント」（具体的な数値・ブランド名の引用は画面内に見当たらない）,部屋/プランタブの直上、「すぐに使う」「貯める」トグルと同列,なし,該当なし,なし,該当なし,あり,なし,「2名1室」,なし,該当なし,該当なし,ポイントの使い方を「すぐに使う」「貯める」のトグルで切り替える設計が特徴的で、ポイント活用の文脈が本地化上重要。また「日付指定なし 2泊」という泊数のみ指定・日付未確定の検索状態の表記も注目点。,
IMG_1729.PNG,一休,あり,"朝食付2泊2名 税込 42,436円～",2泊2名,"小さなグレー取消線付きで元値「43,300円～」＋大きな黒字で割引後価格「42,436円～」",あり,ポイント2%分利用で,元値（取消線）の直上、価格ブロック最上部,あり,"元値「43,300円～」に取消線＋ポイント2%分利用後の割引価格「42,436円～」を大きく表示",なし,該当なし,あり,なし,2泊2名,なし,該当なし,詳細・予約,「朝食付」という食事条件が価格表示の中に直接組み込まれており、プラン内容と価格が一体化した表記になっている点が本地化観点で特徴的。,
IMG_1730.PNG,一休,あり,"朝食付2泊大人2名 税込 42,436円〜",朝食付2泊大人2名,"小さなグレー字で元値に取消線（43,300円〜）＋大きな黒字で割引後価格（42,436円〜）",あり,ポイント2%分 (864円分) 利用で,元値（取消線価格）の直上,あり,"元値に取消線（43,300円〜）＋ポイント利用による割引後価格（42,436円〜）を併記",あり,チェックイン日の2日前までキャンセル料無料,あり,なし,2名 1室,なし,該当なし,日付を選択して予約,予約受付期間が「予約受付は2026年5月4日 12:00〜2026年5月26日 24:00」と明示されており、販売期間限定のスペシャルプランであることが強調されている。,
IMG_1731.PNG,一休,なし,該当なし,表示なし,価格表示なし（この画面には価格が表示されていない）,なし,該当なし,該当なし,あり,バナーに「最大5%OFF」「サマ割 セール開催中」と表示,なし,該当なし,なし,なし,該当なし,なし,該当なし,日付を選択して予約,プラン紹介に「【期間限定】朝食付きの特別料金プランです。」と記載されており、期間限定・食事付きの強調表現が本地化観点で注目される。また支払い方法として「オンラインカード決済」「現地決済」の2種類が明示されている。,
IMG_1732.PNG,一休,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,あり,「最大5%OFF　サマ割 セール開催中」バナー表示（割引後価格や取消線は非表示）,なし,該当なし,あり,なし,「定員　1名〜2名」,なし,該当なし,「日付を選択して予約」,部屋サイズ「20.41平米」・ベッドサイズ「幅161cm × 長さ195cm × 高さ52cm 1台」・ベッド幅「160cm〜」など具体的な数値表記が複数あり、ローカライズ時の単位変換（cm/m²）に注意が必要。,
IMG_1733.PNG,一休,なし,該当なし,表示なし,価格表示なし,なし,該当なし,該当なし,あり,「最大5%OFF」「サマ割 セール開催中」バナー表示（割引後価格や取消線は非表示）,なし,該当なし,なし,なし,該当なし,なし,該当なし,日付を選択して予約,アメニティ欄に「お茶セット（無料）」と無料であることを括弧書きで明示する表記スタイルが確認でき、付帯サービスの無償提供を強調する日本市場特有の訴求方法として注目される。,
IMG_1734.PNG,,,,,,,,,,,,,,,,,,,,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5310688 bytes > 5242880 bytes'}, 'request_id': 'req_011Caxku1EKotpCXwFu8CNJd'}"
IMG_1735.PNG,一休,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,あり,「最大5%OFF」「サマ割 セール開催中」バナー表示,あり,「キャンセルポリシー」（折りたたみ式・詳細未展開）,なし,あり,該当なし,なし,該当なし,日付を選択して予約,食物アレルギー対応について「食品表示法により製造会社等に表示義務のある特定原材料８品目（えび・かに・くるみ・小麦・そば・卵・乳・落花生）のみ」と明記されており、アレルゲン開示の粒度が本地化観点で注目される。,
IMG_1736.PNG,一休,あり,"朝食付大人2名 税込 48,735円",表示なし,"小さなグレー字で取消線付き元値（51,300円）＋大きな黒字で割引後価格（48,735円）",あり,"ポイント5%分（2,565円分）利用で",元値（取消線）の上、価格ブロックの最上部,あり,"元値に取消線（51,300円）＋ポイント利用による実質値引き後価格（48,735円）、バナーで「最大5%OFF サマ割 セール開催中」",あり,2026年5月14日までキャンセル料無料,あり,なし,2名 1室,なし,該当なし,予約へ進む,予約受付期間が明示されており「予約受付は2026年5月4日 12:00〜2026年5月26日 24:00」と時限性を強調している点、およびチェックイン時間が「15:00〜26:00」と26時表記（深夜2時）を使用している点が本地化観点で注目される。,
IMG_1737.PNG,一休,あり,"税込 48,735円",表示なし,"単一価格のみ表示（税込48,735円を大きな太字で表示）",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,あり,なし,大人2名 1室,なし,該当なし,該当なし,予約入力フォーム画面であり、プラン名に「【スペシャルプランオファー】」という角括弧付き日本語表記が使われている点、および「朝食付」が日程表示と同行に併記される形式が本地化観点で注目される。,
IMG_1738.PNG,一休,あり,"2泊2名 税込 42,436円〜",2泊2名,"小さなオレンジ字で元値に取消線（43,300円〜）＋大きな黒字で割引後価格（42,436円〜）",あり,ポイント2%分利用で,価格の直上（元値取消線価格の上）,あり,"元値に取消線（43,300円〜）＋ポイント2%分利用後の割引価格（42,436円〜）を併記",なし,該当なし,あり,なし,2泊2名,なし,該当なし,"詳細・予約, 詳細・予約",チェックイン時間が「IN 15:00〜26:00」と深夜26時表記（翌2時）を使用しており、日本独自の時刻表現が確認できる。,
IMG_1739.PNG,一休,あり,"2泊2名 税込 42,436円〜",2泊2名,"小さなグレー字で元値に取消線（例：43,300円〜）＋大きな黒字で割引後価格（例：42,436円〜）、ポイント利用価格として表示",あり,ポイント2%分利用で,元値（取消線価格）の直上・右寄せ、割引後価格の上部ラベルとして表示,あり,"元値に取消線（例：43,300円〜）＋ポイント2%利用後の価格を下段に大きく表示",なし,該当なし,あり,なし,2泊2名,なし,該当なし,"詳細・予約, 詳細・予約, 詳細・予約",チェックイン時間が「IN 15:00〜26:00」と深夜26時表記（日本特有の翌日深夜表現）を使用しており、本地化時に要注意。,
IMG_1740.PNG,一休,あり,"2泊2名 税込 45,724円～、2泊2名 税込 46,668円～、2泊2名 税込 60,880円～",2泊2名,"小さなオレンジ字で元値に取消線（例：46,656円～）＋大きな黒字で割引後価格（例：45,724円～）",あり,ポイント2%分利用で,元値（取消線）の直上・価格ブロック右上,あり,"元値に取消線（オレンジ）＋割引後価格を大きく表示（例：46,656円～ → 45,724円～）。プランタイトルに「【早期割引】90日前までお得！」と文言記載",なし,該当なし,あり,なし,2泊2名,なし,該当なし,"詳細・予約, 詳細・予約, 詳細・予約",チェックイン時間がプランごとに異なる形で明示されており（例：IN 15:00～26:00 / IN 15:00～24:00）、深夜チェックイン対応を価格表示と同列に並べている点が本地化観点で注目される。,
IMG_1741.PNG,一休,あり,該当なし,表示なし,"青字で「84,760円～」、赤字で「59,4（切れ）円～」、青字で「59,174円～」の最安値のみ単一表示",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,あり,なし,「2名」（ドロップダウン形式：「2名 ∨」）,なし,該当なし,該当なし,部屋タイプ選択ドロップダウンに「喫煙」「禁煙」の表記が各部屋名に付記されており、現在選択中の項目には「✓」チェックマークが表示されている（「アネックスタワー ダブルルーム 禁煙」）。「空室なし」は日本語でグレー表示。,
IMG_1742.PNG,一休,あり,"2泊2名 税込 42,436円〜",2泊2名,"小さなオレンジ字で元値に取消線（43,300円〜）＋大きな黒字で割引後価格（42,436円〜）",あり,ポイント2%分利用で,価格の直上（元値取消線の上）,あり,"元値に取消線（43,300円〜）＋ポイント利用による割引後価格（42,436円〜）をオレンジ文字で表示",なし,該当なし,あり,なし,2泊2名,なし,該当なし,"詳細・予約, すぐに使う, 貯める",チェックイン時間が「IN 15:00〜26:00」と26時表記（翌2時）を使用しており、日本独自の深夜時刻表現が確認できる。,
IMG_1743.PNG,一休,あり,税込,2泊2名 税込,"小さなオレンジ字でポイント利用後価格（取消線付き元値）+大きな黒字で通常価格（例：「44,776円〜」取消線+「43,884円〜」大きく表示）",あり,ポイント2%分利用で,価格の直上（通常価格の上に表示）,あり,"元値に取消線（オレンジ字）+ポイント利用後の下がった価格を併記（例：「44,776円〜」取消線→「43,884円〜」）",なし,該当なし,あり,なし,2泊2名,なし,該当なし,"詳細・予約, 詳細・予約",価格はポイント割引適用後と適用前の2段階で表示され、ポイント利用を訴求する構造になっている点が本地化で注目すべき日本市場特有の表現。,
IMG_1744.PNG,一休,あり,"2泊2名 税込 46,028円〜、2泊2名 税込 35,188円〜",2泊2名,"小さなグレー字で元値に取消線（例：51,128円〜）＋大きな黒字で割引後価格（例：46,028円〜）",あり,ポイント10%分利用で、ポイント2%分利用で,元値（取消線付き価格）の直上,あり,"元値に取消線（例：51,128円〜）＋割引後の税込価格を大きく表示（例：46,028円〜）",なし,該当なし,あり,なし,2泊2名,あり,★4.03、★4.08、★4.39、★4.03（件数表示なし）,すべてみる,「この宿に泊まった人がよく泊まる宿」「スイートルームが人気のホテル」というレコメンドセクションラベルが本地化観点で注目に値する（宿泊行動ベースのパーソナライズ訴求）。,
IMG_1745.PNG,一休,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,施設詳細として「フィットネス」「バリアフリー」「駅徒歩5分以内/コンビニまで徒歩5分以内」というアクセス・設備情報が表示されており、住所「〒108-8611東京都港区高輪4-10-30」と電話番号「TEL：03-3440-1111」が明記されている点が本地化（連絡先・所在地表記）の観点で注目される。,
IMG_1746.PNG,一休,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,施設の住所（〒108-8611東京都港区高輪4-10-30）・電話番号（TEL：03-3440-1111）・車での所要時間（羽田空港から約30分、東京駅から約20分）・「この施設内にあるレストラン」セクション・「チェックイン前の荷物預かりは何時から可能でしょうか？」というFAQ的テキストが表示されており、地図タブ（施設詳細ページのアクセス情報画面）であることが確認できる。,
IMG_1747.PNG,一休,あり,"2名 税込 35,188円〜 / 2名 税込 46,028円〜",2名,"小さなグレー取消線付き元値（35,904円〜 / 51,128円〜）＋大きな黒字で割引後価格（35,188円〜 / 46,028円〜）",あり,ポイント2%分利用で / ポイント10%分利用で,取消線付き元値の直上,あり,"元値に取消線（35,904円〜 / 51,128円〜）＋ポイント利用率（2% / 10%）による割引後価格を併記",なし,該当なし,あり,なし,2名,あり,★4.08 / ★4.03（ホテルカード）、3.80 ★★★★☆（クチコミセクション）,該当なし,クチコミセクションに投稿日（2025/10/14）と投稿者名（しん たか）が表示されており、レビューの信頼性訴求として実名・日付を明示する形式を採用している。,
IMG_1748.PNG,一休,なし,該当なし,表示なし,価格表示なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,検索をつづける,空室なし状態の画面で「ご希望の宿ではありませんか？」というメッセージと、FAQセクション（「よくある質問」）が表示されており、チェックイン前の荷物預かりに関するチャット導線テキスト「チェックイン前の荷物預かりは何時から可能でしょうか？」も画面下部に確認できる。,
01bc6905-60d5-412c-8612-a72fb0de8e4c.webp,Trip,あり,該当なし,表示なし,"単一価格のみ表示（青字で「63,428円」）",なし,該当なし,該当なし,なし,該当なし,あり,「キャンセル条件を表示」（リンク形式）,なし,なし,該当なし,なし,該当なし,該当なし,"返金明細画面にて「63,428円はMasterCard（クレジットカード）（1734）に返金されました。反映までしばらくお待ちください。」と返金ステータスを段階的に表示しており、「払い戻しは5営業日以内に入金されます」という期日表現も併記されている。",
02c3d0a4-ed5d-4ea9-a9db-63dae57543a8.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,結果を表示（300+）,人気ロケーション一覧でユーザー選択率をパーセンテージ表示（例：「49.5%のユーザーがこのエリアを選択」）しており、日本語と英語が混在したロケーション名（「Da Nang Downtown」「My Khe Beach」）が存在する点が本地化上の注目点。,
03128f99-d23b-4cfc-ac58-6224fb250d48.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,OK,日本の祝日「7月15日 海の日」がカレンダー下部に注釈表示されており、祝日ラベルの本地化対応が確認できる。またチェックイン・チェックアウト日付の表示形式は「7月10日（水）」と曜日括弧付きで表記されている。,
0593c966-0955-4118-82fc-722e26e6dd3c.webp,Trip,あり,"返金額（見込み）　63,428円",表示なし,"単一価格のみ表示（青字で「63,428円」）",なし,該当なし,該当なし,なし,該当なし,あり,「この予約は無料キャンセルが可能です」「キャンセル条件 ›」,なし,なし,該当なし,なし,該当なし,"変更, 送信",キャンセル理由選択肢として「旅行の予定に変更が生じた」「日付や目的地を間違えて予約してしまった」「ホテルに関する問題がある」「ホテルにチェックインできなかった」「健康上の理由で旅行ができなくなった」「交通機関の遅延またはキャンセルにより旅行ができなくなった」「よりお得な価格を見つけた」の7項目が表示されており、「キャンセルせずに、予約を変更」という代替アクション誘導テキストが選択肢内にインライン表示されている点が本地化上注目される。,
06db394e-d383-4bac-9e4f-93a6a0549322.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,「5.0/5 とても素晴らしい」「43件の口コミ」,客室タイプを選択,口コミ画面にて「口コミは全て、認証済み会員による投稿です。口コミを投稿してみませんか？」という信頼性訴求バナーが表示されており、旅行タイプ（「友達との旅行」）・宿泊月・部屋タイプ（「プールヴィラ（1ベッドルーム）」）が口コミに付帯情報として表示されている。,
08443998-bd98-43df-8b57-4a38c5088e41.webp,Trip,あり,該当なし,表示なし,「≈15円」を大きな文字で表示（Trip Coins残高10コインの円換算）,あり,「Trip Coins 残高：10 ≈15円」,シルバー会員特典セクション内、「Trip Coins は現金感覚で利用OK」の直下,あり,「割引額 8%オフ」「ダイヤモンド会員お試し：最大 20%オフ」のバッジ形式クーポン表示,なし,該当なし,なし,なし,該当なし,なし,該当なし,"今すぐ使う, 今すぐ使う, 更に獲得, 履歴",会員ランクが「シルバー／ゴールド／プラチナ／ダイヤモンド」と明示され、「1件の予約を完了して、ゴールド会員特典を獲得」という昇格促進メッセージが日本語でそのまま表示されている点が本地化観点で注目される。,
08b283ff-a6e0-458a-bacb-712fc716719a.webp,Trip,あり,"合計金額：56,042円　1室×4泊（税込み）／合計金額：52,198円　1室×4泊（税込み）",表示なし,"大きな青字で1泊あたり価格（例：「14,010円」「13,050円」）＋小さなグレー字で合計金額（税込み）。割引ありの場合は元値に取消線＋赤字で割引後価格",なし,該当なし,該当なし,あり,"元値「13,333円」に取消線＋赤字で割引後価格「13,050円」＋「283円オフ」バッジ（赤背景）＋「シルバー会員割引」ラベル",あり,「キャンセル無料」,あり,あり,「1室　大人 2名　子供 0名」,あり,「4.7/5　素晴らしい　348件の口コミ」／「4.4/5　とても良い　103件の口コミ」,「検索」,会員ランク（「シルバー会員価格」「シルバー会員割引」）が価格と紐づいて明示されており、ロイヤルティ階層を価格訴求に活用している点が本地化観点で注目される。,
0a69cace-0e45-42d4-8f0f-cc31b235a5bf.webp,Trip.com（トリップドットコム）,あり,"「税込み」（例：「合計金額：224,884円 1室×4泊（税込み）」「合計金額：270,324円 1室×4泊（税込み）」）","「1室×4泊（税込み）」および1泊あたりの単価表示（例：「56,221円」「67,581円」）","元値に取消線（例：「64,794円」「95,608円」）＋大きな青字で割引後価格（例：「56,221円」「67,581円」）＋合計金額を小さい字で下段表示",なし,該当なし,該当なし,あり,「特別セール」ラベル＋「13%オフ」バッジ、および「初回予約価格」ラベル＋「29%オフ」バッジ、元値に取消線,あり,「払い戻し不可」「キャンセル無料 6月10日 18:00まで」,あり,なし,「料金（大人２名）」,なし,該当なし,"「予約」, 「予約」","「新規会員特典で4,388円オフ！」という会員向けバナーが上部に表示されており、新規登録促進の訴求が価格一覧の直前に配置されている点が本地化観点で注目される。",
0c22acd9-6aac-4489-a8d9-67c761f3f244.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,あり,「素晴らしい 4.8 /5 Trip.com承認済み口コミ」＋カテゴリ別スコア「清潔度 4.9 / サービス 4.9 / 設備・アメニティ 4.8 / ロケーション 4.7」＋個別口コミ「4.7/5 素晴らしい」（43件の口コミ）,客室タイプを選択,「Trip.com承認済み口コミ」という信頼性ラベルが評価スコアの直下に表示されており、口コミの信頼性を強調するローカライズ表現として注目される。また「✨ AIサマリー」セクションで実際の宿泊者口コミをAIが要約する機能が日本語で提供されている。,
0c78ec87-5024-408d-b642-7b9918cc49e6.webp,Trip.com,あり,該当なし,表示なし,"バナー内に「最大2,000円クーポン配布中！」「最大9.28%還元」「1,000円分Trip Coins付与」の数値が強調表示されているが、宿泊単体の価格階層は画面内に見えない",あり,"「新規入会 1,000円分 Trip Coins 付与」",バナー内・還元率表示の直下,あり,"「航空券＋ホテル」カテゴリに「Sale」バッジ、バナーに「ホテル＆航空券 最大2,000円クーポン配布中！」",なし,該当なし,なし,なし,該当なし,なし,該当なし,今すぐ確認,「GW旅セール!!」という季節イベント訴求バナーが表示されており、ゴールデンウィーク向けの期間限定プロモーション訴求が本地化観点で特徴的。,
0ec505e4-fed0-477c-bc37-61ec5c93cae7.webp,Trip,あり,該当なし,表示なし,"大きな青字で割引後価格「56,221円」＋小さなグレー字に取消線で元値「64,794円」",なし,該当なし,該当なし,あり,"元値「64,794円」に取消線＋ピンクバッジで「13%オフ」",なし,該当なし,なし,なし,該当なし,あり,「4.8/5」「素晴らしい」「Trip.com 承認済み口コミ」＋カテゴリ別スコア（清潔度4.9・サービス4.9・設備・アメニティ4.8・ロケーション4.7）＋個別口コミ「4.7/5 素晴らしい」＋「43件の口コミ」,客室タイプを選択,「承認済み口コミ」という表現でレビューの信頼性を明示しており、AIサマリー機能（「✨ AIサマリー」「実際の宿泊者の口コミの、AIによる要約」）を日本語ローカライズで搭載している点が本地化観点で注目される。,
0f52c8c6-1982-48b7-9506-3e91318e81b4.webp,Trip,あり,該当なし,1泊1名につき,"「US$95.00（約15,133円）（1泊1名につき）」と米ドル建てを主表示し、括弧内に円換算を補足表示",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,あり,あり,「定員：大人２名」,なし,該当なし,"客室タイプを選択, 子供を追加",ベビーベッド追加料金を「無料」と青字ハイライトで強調表示しており、有料エキストラベッドとの差別化表現が本地化観点で注目される。,
111d0419-b7d0-454a-93aa-3c1563fb5bba.webp,Trip,あり,該当なし,表示なし,「≈15円」のみ大きく表示（残高の円換算）,あり,「Trip Coins 残高：10 ≈15円」「+3」「+2」（レベルアップ（Tripメモリー）による付与）,画面上部に残高、各明細行の右端に付与数,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,Trip Coinsの付与・有効期限の基準時刻が「中国時間基準」である旨を「*Trip Coinsの付与と有効期限の日時は中国時間基準です」と明記しており、日本ユーザー向けの本地化観点で注意が必要な表示。,
120cf62c-01c6-4bf5-975f-85a080eea6c5.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,"検索候補一覧画面であり、施設名と所在地（例：「ソウル, 韓国」「大阪, 大阪府, 日本」「那智勝浦, 東牟婁郡, 和歌山県, 日本」）のみが表示されており、価格・評価・CTAなどの商業情報は一切表示されていない。また検索プレースホルダーには「観光スポット、ホテル、レストランなど」と記載されており、宿泊に限らない広義の検索窓として機能している。",
1967377c-760c-489c-8e2b-9fa5b2c033cf.webp,Trip,あり,該当なし,表示なし,「100 Trip Coins = $1（約156円）で利用可能」という換算レート表示のみ。通常の宿泊価格表示はなし,あり,「100 Trip Coins = $1（約156円）で利用可能」,ページ上部、見出し直下,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,該当なし,換算レートに「表示の換算率は参考情報です。為替レートの変動により、実際の数値と異なる場合があります。」という免責文言が明示されており、Trip.comがJPY換算時に公示仲値レートを使用する旨が記載されている点が本地化観点で注目される。,
1a221dd6-2954-4884-9fdd-5a978b643158.webp,Trip,なし,該当なし,表示なし,該当なし,なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,該当なし,なし,該当なし,"クリア, 検索結果を表示(878)",観光スポットカテゴリーのフィルター画面で、「遊園地」「テーマパーク」がチェック済み状態として表示されており、検索結果件数「878」がCTAボタン内にリアルタイム表示される形式を採用している。,
1fd596d2-3ffa-43c5-a5b4-4fb0465c6246.webp,Trip,なし,該当なし,表示なし,単一価格のみ表示,なし,該当なし,該当なし,なし,該当なし,あり,「鉄道乗車券の払い戻し手数料無料」「毎年、鉄道乗車券を無料でキャンセルできます。この特典は、指定の地域（中国本土、ヨーロッパ、香港 [中国]、韓国、イギリス）で運行の鉄道会社のみが対象です。この特典は、鉄道乗車券の購入時に取得可能です。」「払い戻し手数料免除」,なし,なし,該当なし,なし,該当なし,OK,これはRewardsプログラムの会員特典説明モーダルであり、「ロック中」と表示されダイヤモンド会員向け特典がまだ解放されていない状態を示している点が本地化観点で注目される。,
20aa00e2-eedb-4993-98ce-2af6bed5b4e7.webp,Trip,あり,該当なし,表示なし,"単一価格のみ表示（青字：63,428円、グレー字：13,312円／343,490円／147,680円）",なし,該当なし,該当なし,なし,該当なし,なし,該当なし,なし,なし,「1室 1泊」,なし,該当なし,"予約確認書, 再度予約",予約ステータスのラベルとして「予約完了」（青字）と「キャンセル済み」（グレー字）が使われており、ステータスによって色と表現が明確に区別されている。,
