ファイル名,アプリ名,ページ種別,業界,レイアウト,主要カラー,UIコンポーネント,フロー種別,UI状態,情報密度,注目ポイント,エラー
3262c103-5905-48c2-abe3-ec7ecdc5a659.webp,Trip.com,口コミ・レビュー,旅行,全画面,"白, 青(#2B6BDD), グレー","テキストフィールド, ボタン, カルーセル, バナー・アラート, ツールバー, タグ・ラベル",作成,パーシャルステート,中,画像サムネイル選択エリア・タイトル入力・本文入力プレースホルダーが縦に配置され、日本語フリック入力キーボードが画面下半分を占有している投稿作成画面,
351beb97-a931-453f-b33e-68e0ac911f88.webp,Trip.com,ランキング,旅行,カード式,"ホワイト, ブルー, ピンク/レッド, ゴールド","ボタン, タブ・セグメントコントロール, 検索フィールド, ドロップダウン, カード, カルーセル, タグ・ラベル, バッジ, レーティング, ツールバー","検索, フィルタ・並び替え, 選択",通常状態,高,出発地・期間のドロップダウン選択、地域カテゴリのカルーセル、都市タグのフィルター行、順位バッジ付きホテルカードが縦列で構成され、各カードに評価スコア・口コミ数・価格・値下がり情報が集約されている。,
35444849-4d36-489f-8588-18fe5f55391b.webp,Trip.com,口コミ・レビュー,旅行,リスト式,"ホワイト, ネイビーブルー, ブルー(#0066CC), ライトイエロー(バナー背景)","テキストフィールド, ボタン, チェックボックス, バナー・アラート, タグ・ラベル, カルーセル, ツールバー, リスト","作成, レビュー・評価, シェア",パーシャルステート,高,写真2枚アップロード済み・タイトル・本文・タグ・スポット位置情報・利用規約同意チェックボックスを1画面に縦積みしたUGC投稿フォームで、LV4ミッション報酬バナーをページ上部に固定表示している,
4be5c66a-72dc-4591-996f-b415585f925c.webp,Trip.com,口コミ・レビュー,旅行,全画面,"ブルー (#1A56DB), ホワイト (#FFFFFF), グレー (#F2F2F7)",テキストフィールド/ボタン/カルーセル/タグ・ラベル/ツールバー,作成/編集,通常状態,低,投稿画像のサムネイル選択エリア・タイトル・本文テキストフィールドと日本語キーボード（絵文字・テンプレート選択・タグ追加機能付き）が一画面に統合された旅行メモリー投稿作成UIで、推奨文字数188字のインセンティブ表示を備えている。,
4f5ed478-9f31-454b-8452-09ea58734e5d.webp,Trip.com,クーポン・リワード,旅行,カード式,ブルー（#1B4FD8）、ピンク（#FF4F7B）、ホワイト,"ボタン, カード, バナー・アラート, タグ・ラベル, カルーセル, ツールバー, リスト",選択,通常状態,中,ウェルカムパック画面にホテル割引クーポン（8%・20%オフ）、航空券向けカード優待クーポン、会員ランク特典（シルバー・ゴールド）の3セクションが縦に並んで構成されている。,
4fec105e-c40e-45b7-a37c-bb23214666f3.webp,Trip.com,クーポン・リワード,旅行,カード式,ブルー（#3B5BDB系）、ホワイト、ゴールド,"カード, バナー・アラート, リスト, タグ・ラベル, ツールバー",オンボーディング,通常状態,中,会員ランク（シルバー・ゴールド・プラチナ・ダイヤモンド）ごとの特典内容を4枚のカードで縦並びに比較表示し、各カードに対応するランクアイコンを右端に配置している。,
501859fc-8903-4045-b15a-66e5e093c745.webp,Trip.com,タイムライン・履歴,旅行,カード式,"白, 紺青, 青","検索フィールド, カード, アバター, タグ・ラベル, ツールバー, リスト",検索,通常状態,中,旅行ブログ記事を3件縦並びに表示し、各カードにサムネイル画像・タグ・概要文・著者アバター・投稿日・閲覧数・いいね数を含む構成となっている。,
51edc1f0-0c86-47b6-8a60-a11d42f93b0b.webp,Trip.com,検索,旅行,カード式,"ブルー (#3D5AF1), ホワイト, ダークネイビー, イエロー（プロモーション）","検索フィールド, ボタン, 日付・時間選択, ステッパー, カード, バナー・アラート, タグ・ラベル, カルーセル, アバター, ツールバー, バッジ","検索, 購入・予約",通常状態,中,目的地入力・日程・人数・フィルタを1カード内に集約した検索フォームを上部に配置し、その下に新規会員クーポン・GWキャンペーンバナー・ホテル割引セクションを縦に並べた構成。,
562ad409-e717-47de-814e-8963ddf8c9a6.webp,Trip.com,カレンダー,宿泊旅行,カレンダー形式,"ネイビーブルー (#1A3A6B), ロイヤルブルー (#3D5AFE), ライトブルー (#E8EAF6), ホワイト (#FFFFFF), オレンジレッド (#FF5252)","ボタン, 日付・時間選択, ツールチップ, バナー・アラート, タグ・ラベル, ツールバー","購入・予約, 選択",通常状態,中,チェックイン(7/10)・チェックアウト(7/14)の2点選択式カレンダーで、選択範囲をハイライト表示し、ツールチップで泊数(4泊)を即時フィードバック、画面下部に現地時間の注意喚起バナーと確定ボタンを固定配置している。,
5d2cecb1-b053-4bd2-ab15-aced18a72fa8.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ネイビー, ホワイト, グレー, オレンジ（アイコン）","検索フィールド, リスト, タグ・ラベル, ツールバー, バッジ","選択, 作成",通常状態,中,ハッシュタグ一覧を投稿件数付きでリスト表示し、トレンドタグには🔥アイコンを付与して視覚的に区別している。,
63f9ce92-b8f8-447d-ba7d-e17f548fa286.webp,Trip.com,プロモーション,旅行,カード式,"青, 黄, 白, ピンク・赤","バナー・アラート, カード, タブ・セグメントコントロール, ボタン, タグ・ラベル, レーティング, カルーセル, ツールバー",購入・予約,通常状態,高,GWセール限定の国内ホテルをカード形式で縦並びに表示し、各カードに割引率バッジ・元値・割引後価格・レビュー件数・評価スコア・施設特徴タグを一括掲載している。,
66e9d969-fb4a-4232-8344-a147da293f5c.webp,Trip.com,その他,旅行,リスト式,"ネイビー (#1E2D5A), ホワイト (#FFFFFF), ライトグレー (#F0F1F7), ブルー (#2D4E9E)","ボタン, リスト, カード, バナー・アラート, ツールバー","作成, 選択",通常状態,中,投稿用テンプレート選択画面で「単一のテンプレート」と「統合テンプレート」の2カテゴリに分類され、営業時間・雰囲気・所在地・価格・旅程管理などの単体項目カードと、食事/ホテルガイド・目的地ガイドなどの複合項目カードが上部のLV4ミッション報酬バナーとともに縦スクロール形式で提示されている。,
6758a7c6-38cb-433f-b128-bc60314ebd81.webp,Trip.com,プロモーション,観光/レジャー,グリッド,"イエロー, ピンク, ホワイト","ボタン, カード, タグ・ラベル, バッジ, ツールバー","選択, 作成",通常状態,中,各カードに200Tのリワードバッジ・ハッシュタグカテゴリ・投稿数の進捗（現在数/上限数）が表示され、ピンクの投稿CTAボタンが配置された2列グリッドレイアウトで構成されている,
6ef2bfb4-5c44-40b2-b4ac-8a4ff162e36b.webp,Trip.com,検索,旅行,グリッド,"ホワイト, ネイビー, ブルー, ピンク","検索フィールド, バナー・アラート, タグ・ラベル, カード, タブ・セグメントコントロール, ツールバー",検索,通常状態,中,閲覧履歴タグ・さくらプロモーションバナー・国内／海外タブ切替・3列グリッドの都市カード一覧が縦に並ぶ構成になっている。,
7adccf59-7a4f-4042-a2ff-2d84351ac869.webp,Trip.com,コンテンツ詳細,外食,カード式,"ホワイト, ネイビー, ブルー, オレンジ","ボタン, レーティング, ページコントロール, タグ・ラベル, バッジ, カルーセル, リスト, カード, ツールバー",購入・予約,通常状態,高,ヒーロー画像上部にページ枚数（1/73）を表示し、店舗評価・営業時間・住所・アワード受賞情報・人気メニュー画像・TableCheck連携予約ボタンを縦スクロール形式で一画面に集約している。,
7b0017d4-410c-4a6c-8099-b2230622254b.webp,Trip.com,検索結果,旅行/外食,カード式/リスト式,"ブルー(#1A4FBA), ホワイト, ゴールド","検索フィールド, ドロップダウン, カード, カルーセル, タグ・ラベル, バッジ, レーティング, ツールバー, リスト, ボタン","検索, フィルタ・並び替え",通常状態,高,上部にカルーセル形式のおすすめセクションと予約可能店舗カード、下部にフィルター付きリスト形式の検索結果が縦に並ぶ二層構造レイアウトで、各店舗にTripGourmetAwardsバッジ・評点・価格・予約可否・口コミ抜粋が集約表示されている。,
80baf49f-7572-47a4-9100-eb511adb8c91.webp,Trip.com,ホーム,旅行,カード式,"ネイビー, ティール, ホワイト, ピンク","検索フィールド, タブ・セグメントコントロール, バナー・アラート, カード, カルーセル, タグ・ラベル, バッジ, レーティング, アバター, ツールバー","検索, 選択",通常状態,高,ヒーローイメージ背景に検索バーとカテゴリアイコンナビを重ねた上部構成の下に、プロモーションバナー・人気スポットランキングカルーセル・人気宿泊施設カルーセルを縦積みで配置している。,
8209ebcb-6e3c-4847-8528-292436474370.webp,Trip.com,ホーム,旅行,カード式,"ブルー(#1B4FE4), ホワイト, イエロー, レッド","検索フィールド, ボトムナビ, タグ・ラベル, カード, バナー・アラート, カルーセル, バッジ, アバター, ツールバー, リスト",検索,通常状態,高,上部にカテゴリアイコングリッド（ホテル・航空券・列車等8種）、中段にキャンペーン等4つのショートカット、下部にプロモーションバナーと動画コンテンツを組み合わせた多層構造のホーム画面。,
8b47ae8c-547b-4895-ad9d-c6b9925e3988.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ネイビーブルー, ホワイト, オレンジ","スライダー, ボタン, タグ・ラベル, チェックボックス, ツールバー, バッジ",フィルタ・並び替え,通常状態,中,価格帯スライダーと定額レンジボタン、ホテルランク（星数・ラグジュアリー区分）、顧客評価の3カテゴリを縦積みで構成し、複数選択状態（3〜5星が選択済み）をチェックマーク付きカードで視覚的に示している。,
92915be4-920f-4827-84aa-6c3cefaf03ed.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ネイビーブルー, ホワイト, ゴールド","ボトムシート, タグ・ラベル, バッジ, ラジオボタン, ツールバー, リスト, カード, ボタン",フィルタ・並び替え,通常状態,中,ボトムシート形式の並べ替えパネルが検索結果画面の上に重なって表示されており、現在選択中の「Trip.comおすすめ」にチェックマークが付き、5種類のソートオプションがリスト形式で提示されている。,
971f3091-daa8-43e7-a6c4-0e1f72868f44.webp,Trip.com,設定,旅行,リスト式,"ネイビー, ブルー, ホワイト, ライトグレー","リスト, ツールバー, タグ・ラベル","選択, 設定変更",通常状態,中,「おすすめ」セクションにJPY（チェック済み）を固定表示し、その下に通貨一覧をアルファベット順で並べた2セクション構成のモーダル画面。,
9b19e0a9-cb47-4b44-b4d0-5338353c1dc2.webp,Trip.com,検索結果,旅行,カード式,"ホワイト, ブルー, オレンジ, ピンク・レッド","ボタン, レーティング, 検索フィールド, カード, タグ・ラベル, バッジ, ツールバー, リスト, フロートボタン","検索, フィルタ・並び替え, 購入・予約",通常状態,高,ホテルカードごとに元値・割引率・税込合計金額・口コミ評価・立地・キャンセルポリシー・食事条件を一括表示し、おすすめタグフィルターを横スクロールで提供する構成になっている。,
9b8b58c1-3552-476d-b341-3fcf6cc7ac19.webp,Trip.com,検索,旅行,リスト式,"ホワイト, ネイビーブルー, グレー","検索フィールド, ボタン, リスト, タグ・ラベル, ツールバー, カルーセル","検索, 作成, 編集",通常状態,中,"「京都」キーワードに対するハッシュタグ候補（#京都1,903件〜#京都ホテル200件）が投稿数付きリストで表示され、上部には選択済み写真のサムネイルカルーセルと日本語フルキーボードが同時展開されている投稿タグ追加モーダル画面。",
a03f15a5-8b7c-4a10-be0e-d5bf5b4c497d.webp,Trip.com,フィルタ・並び替え,旅行,リスト式,"ネイビー, ホワイト, ブルー","ボタン, タグ・ラベル, ツールバー, シート",フィルタ・並び替え,通常状態,中,ホテルブランド・割引・支払い方法・予約条件の4カテゴリをセクション分けしたボトムシート型フィルターUIで、各項目はタグボタン形式で選択可能、下部に結果件数（300+）を表示する固定CTAボタンを配置している。,
a443bbc4-c030-4cf5-a0b8-5f2c1c72802c.webp,Trip.com,ホーム,旅行,カード式,ホワイト、オレンジ、ダークグレー,検索フィールド、カード、アバター、タグ・ラベル、ボトムナビ、バッジ、ツールバー,検索,通常状態,高,2カラムの非均等グリッドレイアウトで、ホテル紹介・グルメ・体験・プロモーションなど複数カテゴリのコンテンツカードが混在表示され、各カードに投稿者アバター・閲覧数・タグが付与されている。,
a9fc77ee-7ccd-496c-a194-b1a56f447090.webp,Trip.com,プロモーション,旅行,カード式,"ピンク (#F48FB1系), 白, 濃いピンク (#C2185B系), 水色","ボタン, タブ・セグメントコントロール, マップ, バナー・アラート, タグ・ラベル, ツールバー",該当なし,通常状態,中,日本地図上に主要都市ごとの桜満開予想日をピン形式で表示し、タブ切替で最新情報・特典とさくら限定サービスを使い分ける季節限定プロモーション画面。,
ad99f94d-362b-4c52-8519-69d0366ada25.webp,Trip.com,ホーム,旅行,カード式,"白, 青緑, ピンク, オレンジ","検索フィールド, カード, カルーセル, バナー・アラート, タグ・ラベル, バッジ, アクションシート, ツールバー, タブ・セグメントコントロール, ボタン","検索, 選択",通常状態,高,京都の観光情報ページ上に「更に表示」ボトムシートが重なり、遊び・体験/レストラン/ショッピング/旅のブログ/Tripメモリー/レンタカーの6カテゴリアイコンをグリッド表示している。,
b0ce649c-9992-439a-a83f-a6a637f6c511.webp,Trip.com,ランキング,旅行,カード式,"ネイビーブルー, ホワイト, ゴールド, レッド","カード, タブ・セグメントコントロール, レーティング, バッジ, タグ・ラベル, ツールバー, リスト","検索, 選択",通常状態,高,横スクロール可能なカテゴリタブ（豪華/ファミリー/絶景等）と番号付きランキングバッジを組み合わせ、各ホテルカードに評価・価格・ロケーション・ハッシュタグ特徴を一括表示する構成になっている。,
b184ee15-73ee-4456-a51a-975a51fbd9bc.webp,Trip.com,検索,旅行,カード式,"白, 青, ピンク, オレンジ","バナー・アラート, カルーセル, カード, タグ・ラベル, リスト, ツールバー","検索, 購入・予約",通常状態,中,新規会員クーポンパック・GWセールバナー・ホテル割引・予約履歴・サービス強み説明を縦スクロール型カードで段階的に配置した構成,
b1aeed49-b759-475b-8701-179fc3676db8.webp,Trip.com,ホーム,旅行,カード式,"ダークブルー (#1B3A6B), ロイヤルブルー (#2E5BFF), ホワイト (#FFFFFF), レッド (#E8344E)","ボタン, 検索フィールド, ダイアログ, カード, バナー・アラート, タグ・ラベル, ボトムナビ, ツールバー, バッジ, カルーセル, アバター",該当なし,通常状態,中,"新規会員向けの「最大10,000円オフ」限定割引クーポン取得を促すモーダルダイアログが画面中央に重なって表示されており、背景のホーム画面（カテゴリアイコン・宿泊施設画像）はグレーアウトされている。",
b48a4f79-f218-4968-ba0d-570c0c9b8abb.webp,Trip.com,ホーム,旅行,カード式,"ネイビー, ゴールド, ホワイト, オレンジ","検索フィールド, タブ・セグメントコントロール, カード, カルーセル, レーティング, タグ・ラベル, バッジ, ツールバー",検索,通常状態,高,「人気の宿泊施設」「おすすめのグルメ」「ナイトライフ」の3セクションをカテゴリフィルタ付きの横スクロールカルーセルで構成し、Trip.Bestランキング順位・評価スコア・口コミ件数を各カードに表示している。,
bebdeee9-e27f-4bbd-990f-24eab6dae546.webp,Trip.com,ランキング,旅行,リスト式,"ネイビー, ホワイト, ゴールド, レッド","ツールバー, シート, リスト, タグ・ラベル, バッジ",該当なし,通常状態,中,ボトムシート形式でランキング詳細説明を表示し、Trip.Bestの定義・更新頻度・対象範囲を番号付きリストで3セクションに分けて構造化している,
c15cbef1-4387-4a98-bcb5-df84bac34173.webp,Trip.com,検索,旅行,カード式,"ブルー (#3D5AFE系), ホワイト, ゴールド/イエロー, グレー","検索フィールド, ボタン, 日付・時間選択, ステッパー, カード, カルーセル, タグ・ラベル, バッジ, レーティング, アバター, ツールバー","検索, 購入・予約",通常状態,中,検索条件入力フォーム（目的地・日程・人数・ランク）を上部に集約し、その下に新規会員クーポンバナーと絶景ホテルランキングカルーセルを配置した縦スクロール構成になっている。,
cff4fe42-1ba0-4f2c-9d66-402c9d9b27cc.webp,Trip.com,検索,旅行,リスト式,"ブルー (#003580), ホワイト, グレー","検索フィールド, リスト, カード, タグ・ラベル, ボタン, ツールバー",検索,通常状態,中,検索キーワード『ダナン』に対し、人気目的地を選択率付きの2×2グリッドカードで提示し、その下にホテル・ファミリー・空港・ホテル名などのサジェストをリスト表示する構成になっている。,
d6c6fac2-11b8-47ac-8e8d-26afa9c2f5a8.webp,Trip.com,プロモーション,旅行,カード式,"ミントグリーン, ネイビー, オレンジ, ホワイト","ボタン, タブ・セグメントコントロール, カード, タグ・ラベル, レーティング, 日付・時間選択, リスト, バナー・アラート, ツールバー","検索, 購入・予約",通常状態,高,「2024 GW旅セール」特集ページとして、国内外の地域フィルターボタンと都市選択ボタンを上部に配置し、日付選択・割引率・元値と割引後価格を含むホテルカードを縦スクロール形式で表示する構成になっている。,
d846264f-9622-4683-ab03-523e0ad7024c.webp,Trip.com,検索,旅行,カード式,"ネイビー, ブルー, ホワイト, ゴールド","検索フィールド, ボタン, タグ・ラベル, カード, カルーセル, レーティング, 日付・時間選択, バッジ, アバター, ツールバー","検索, フィルタ・並び替え, 購入・予約",通常状態,高,検索条件（目的地・日程・人数・価格帯・星評価）を1画面にまとめたフォームと、その下にランキング形式のホテルカルーセルを組み合わせた構成になっている。,
ddc09c75-8c32-45d3-a286-52f7575d3e45.webp,Trip.com,コンテンツ詳細,旅行,カード式,"白, 青, ダークネイビー","ボタン, ダイアログ, カード, カルーセル, レーティング, タグ・ラベル, バッジ, ツールバー",購入・予約,通常状態,中,レストラン詳細画面上に、外部予約サービス「TableCheck」へのリダイレクト確認モーダルダイアログが重なって表示されており、戻るボタンとOKボタンの2択で遷移を制御する構成になっている。,
eb15a39a-bf78-45e3-a81f-7a9ad65429b4.webp,Trip.com,ランキング,旅行,リスト式,"ゴールド/ブラウン/#8B6914, ホワイト/#FFFFFF, ダークネイビー/#1A2B4A","ボタン, タグ・ラベル, バッジ, レーティング, カード, タブ・セグメントコントロール, ドロップダウン, ツールバー, バナー・アラート","検索, フィルタ・並び替え, 選択",通常状態,高,「Trip.Best」ブランドのヘッダービジュアルの下に、カテゴリタブ・サブカテゴリフィルター・エリア/カテゴリードロップダウンを重層的に配置し、ランキング番号バッジ・評点バッジ・星評価・価格・ロケーション情報を各ホテルカードに集約したリスト構成になっている。,
ec886494-0b3e-4082-a981-d9b6cfa04532.webp,Trip.com,検索結果,旅行,カード式,ブルー（#1B4FD8系）、ホワイト、ゴールド（星評価）、ピンク・レッド（割引表示）,"ボタン, タグ・ラベル, バッジ, カード, リスト, 検索フィールド, ドロップダウン, ツールバー, レーティング, バナー・アラート","検索, フィルタ・並び替え",通常状態,高,検索結果カードに宿泊施設名・星評価・スコア・口コミ数・エリア・キャンセルポリシー・食事条件・ランキング順位・会員割引価格・合計金額を一枚に集約して表示している,
fe2cb50a-e267-4ad2-aa54-8e8d70e45267.webp,Trip.com,口コミ・レビュー,旅行,カード式,"ブルー (#0066CC), ホワイト (#FFFFFF), オレンジ (#F5A623), グレー (#F5F5F5)","ボタン, レーティング, アバター, カード, リスト, タグ・ラベル, バッジ, ツールバー","レビュー・評価, シェア",通常状態,高,観光スポット（中央大街）の旅行者投稿レビュー画面で、翻訳機能付きテキスト・スポットカード・いいね／コメント／ハート数のエンゲージメント指標・返信テンプレート絵文字が縦方向に一画面に集約されている。,
febc5012-0555-420c-8976-59d95a9ae556.webp,Trip.com,検索結果,旅行,リスト式,"ネイビー, ブルー, ホワイト, ピンク/レッド（バッジ）","ドロップダウン, タブ・セグメントコントロール, タグ・ラベル, バッジ, リスト, カード, チェックボックス, レーティング, ツールバー","検索, 選択, 購入・予約",通常状態,高,出発地・期間のフィルタ上部に地域カテゴリタブと都市チップを配置し、フライト最安値カレンダーリストとホテルランキングカードを1画面内に縦積みで同時表示する構成になっている。,
ff3f5229-229e-4409-a57f-d0740e020bba.webp,Trip.com,フィルタ・並び替え,宿泊旅行,リスト式,ブルー（#3D5AFE系）、ホワイト、ライトグレー,ボタン、ステッパー、バナー・アラート、ツールバー,フィルタ・並び替え、選択、購入・予約,通常状態,低,客室数・大人・子供の3項目をステッパー（＋／－ボタン）で数値入力するモーダル画面で、最小値に達した項目のマイナスボタンはグレーアウトで非活性表示されている,
ffed4aa2-9005-4fb2-8336-e443275b4b48.webp,Trip.com,検索結果,旅行,カード式,"ブルー (#1B5EBE), ホワイト, ゴールド, ダークグレー","検索フィールド, ドロップダウン, タグ・ラベル, バッジ, カード, アバター, レーティング, ツールバー, リスト","検索, フィルタ・並び替え",通常状態,高,各レストランカードにTrip Gourmet Awardsのランク（ブラックダイヤモンド/プラチナ/ダイヤモンド）、評価スコア、口コミ件数、価格帯、ジャンル、予約可否タグ、ユーザーレビュー抜粋が一枚のカード内に集約されている。,
01bc6905-60d5-412c-8612-a72fb0de8e4c.webp,Trip.com,購入・予約,旅行,リスト式,ダークブルー（#1A3A8F）、ホワイト、ティールグリーン（チェックアイコン）、ブルー（強調テキスト）,ツールバー/バナー・アラート/アコーディオン/リスト/タグ・ラベル/シート/バッジ,キャンセル・返金,通常状態,中,キャンセル済み予約画面上にボトムシートとして返金明細が重なって表示され、返金ステータスを2段階のタイムライン形式（受付済み→返金手続き中）で可視化している。,
0593c966-0955-4118-82fc-722e26e6dd3c.webp,Trip.com,購入・予約,宿泊旅行,リスト式,ブルー（#3D5AFE系）、ホワイト、グレー,"ラジオボタン, ボタン, バナー・アラート, リスト, ツールバー, タグ・ラベル",キャンセル・返金,通常状態,中,無料キャンセル可能であることをヘッダーで強調し、キャンセル理由をラジオボタンで選択させる構成で、選択肢「日付や目的地を間違えて予約してしまった」選択時にキャンセル回避を促す「予約を変更」ボタンが inline で展開される。,
